epoch,train_loss,val_loss,train_acc,val_acc,learning_rate,epoch_time_s
1,0.000000,0.000000,100.000000,100.000000,0.00100000,1483.456
2,0.000000,0.000000,100.000000,100.000000,0.00100000,1163.206
3,0.000000,0.000000,100.000000,100.000000,0.00100000,1338.979
4,0.000000,0.000000,100.000000,100.000000,0.00100000,1227.177
5,0.000000,0.000000,100.000000,100.000000,0.00010000,726.466
6,0.000000,0.000000,100.000000,100.000000,0.00010000,500.038
